"","age","gender","employment","marital_status","treatment","correction"
"1",40,"Male",1,0,"acceptability",0
"2",79,"Male",0,1,"acceptability",1
"3",36,"Female",1,0,"control",1
"4",22,"Female",1,0,"acceptability",0
"5",34,"Female",1,0,"acceptability",0
"6",71,"Female",0,0,"acceptability",1
"7",67,"Male",0,1,"responsibility",1
"8",41,"Female",0,1,"acceptability",1
"9",56,"Female",0,0,"control",1
"10",32,"Female",0,1,"responsibility",1
"11",63,"Female",0,0,"responsibility",1
"12",75,"Male",0,0,"control",1
"13",43,"Female",0,1,"acceptability",0
"14",64,"Female",0,0,"responsibility",0
"15",38,"Male",1,1,"responsibility",1
"16",39,"Male",0,0,"control",1
"17",37,"Male",0,0,"responsibility",0
"18",62,"Female",0,0,"acceptability",0
"19",47,"Female",1,0,"control",1
"20",69,"Male",0,0,"responsibility",0
"21",43,"Male",0,0,"control",0
"22",21,"Female",1,0,"control",1
"23",76,"Female",0,1,"control",0
"24",29,"Female",0,0,"acceptability",0
"25",52,"Female",0,1,"acceptability",1
"26",57,"Female",1,1,"control",0
"27",60,"Female",0,1,"acceptability",1
"28",48,"Female",0,1,"control",1
"29",20,"Female",0,0,"control",0
"30",41,"Female",0,0,"control",1
"31",42,"Male",1,1,"acceptability",1
"32",38,"Female",0,0,"acceptability",0
"33",22,"Female",0,0,"responsibility",1
"34",50,"Female",0,0,"control",1
"35",49,"Female",1,1,"responsibility",0
"36",26,"Female",0,0,"responsibility",0
"37",81,"Male",0,0,"responsibility",1
"38",50,"Male",1,1,"responsibility",0
"39",58,"Male",1,0,"responsibility",1
"40",61,"Female",1,0,"control",0
"41",28,"Female",0,1,"control",0
"42",69,"Male",0,0,"responsibility",1
"43",24,"Male",1,1,"responsibility",1
"44",66,"Female",0,1,"acceptability",0
"45",40,"Female",1,0,"acceptability",0
"46",27,"Female",0,0,"responsibility",1
"47",35,"Male",1,1,"control",1
"48",63,"Female",0,0,"responsibility",0
"49",43,"Female",0,1,"control",1
"50",26,"Female",0,0,"acceptability",0
"51",51,"Male",1,0,"acceptability",1
"52",54,"Female",1,0,"acceptability",0
"53",30,"Male",1,0,"control",0
"54",46,"Female",0,1,"acceptability",1
"55",21,"Male",0,0,"acceptability",1
"56",54,"Female",0,0,"responsibility",0
"57",43,"Female",1,1,"acceptability",0
"58",57,"Female",0,0,"responsibility",0
"59",62,"Male",0,1,"responsibility",1
"60",74,"Female",0,0,"control",0
"61",44,"Male",0,0,"responsibility",0
"62",72,"Female",1,0,"responsibility",1
"63",56,"Female",1,0,"control",0
"64",64,"Female",1,1,"acceptability",0
"65",28,"Male",0,0,"control",1
"66",41,"Male",1,1,"control",1
"67",43,"Female",1,0,"acceptability",0
"68",30,"Male",1,1,"responsibility",1
"69",38,"Female",0,1,"control",0
"70",29,"Male",0,1,"responsibility",1
"71",33,"Male",1,0,"acceptability",1
"72",55,"Male",0,1,"responsibility",1
"73",18,"Female",1,0,"control",0
"74",43,"Female",1,0,"control",0
"75",46,"Female",1,0,"control",0
"76",34,"Female",1,0,"acceptability",0
"77",33,"Male",1,1,"control",0
"78",33,"Male",0,0,"responsibility",1
"79",33,"Female",0,1,"acceptability",0
"80",33,"Female",1,0,"control",1
"81",59,"Male",0,0,"responsibility",0
"82",68,"Male",0,1,"acceptability",0
"83",38,"Male",1,1,"responsibility",0
"84",36,"Male",1,1,"control",1
"85",33,"Female",1,0,"control",0
"86",66,"Female",0,1,"control",0
"87",42,"Female",0,0,"responsibility",1
"88",53,"Female",1,1,"acceptability",0
"89",46,"Male",1,0,"control",0
"90",40,"Female",1,1,"responsibility",0
"91",20,"Female",0,1,"control",1
"92",51,"Female",0,1,"control",1
"93",48,"Female",1,1,"responsibility",1
